feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
Carotenoids	β-Carotene	DWARF27	DWARF27	K17911	1	K17911	EC:5.2.1.14			High for β-carotene isomerization	beta-carotene isomerase | Isomerization	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad carotenoid cleavage; not β-carotene-specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid 9,10/9',10' cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not compound-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin	crtX	crtX	K14596	1	K14596	EC:2.4.1.276			High for zeaxanthin	zeaxanthin glucosyltransferase | Glycosylation to zeaxanthin diglucoside	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040; Sun et al. 2026, Industrial Crops & Products, DOI: https://doi.org/10.1016/j.indcrop.2026.123495
Carotenoids	Zeaxanthin	ZEP, ABA1	ZEP, ABA1	K09838	1	K09838	EC:1.14.15.21			High for zeaxanthin	zeaxanthin epoxidase | Epoxidation to antheraxanthin/violaxanthin	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin	crtW, BKT	crtW, BKT	K09836	1	K09836	EC:1.14.99.63,EC:1.14.99.64			Moderate-high; explicitly includes zeaxanthin	beta-carotene/zeaxanthin 4-ketolase | 4-ketolation	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad; zeaxanthin possible but not specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid 9,10/9',10' cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not zeaxanthin-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin	crtZ	crtZ	K15746	1	K15746	EC:1.14.15.24			Not a zeaxanthin substrate; produces zeaxanthin	beta-carotene 3-hydroxylase | Formation from β-carotene/β-cryptoxanthin	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040; Sun et al. 2026, Industrial Crops & Products, DOI: https://doi.org/10.1016/j.indcrop.2026.123495
Carotenoids	Lutein	LUT1, CYP97C1	LUT1, CYP97C1	K09837	1	K09837	EC:1.14.14.158			High for lutein-pathway modification; not degradation	carotenoid epsilon hydroxylase | ε-ring hydroxylation during lutein biosynthesis	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Lutein	RPE65	RPE65	K11158	1	K11158	EC:3.1.1.64,EC:5.3.3.22			Moderate; lutein named but often non-microbial/retinoid context	retinoid isomerohydrolase / lutein isomerase | Lutein isomerization / retinoid isomerohydrolase-like activity	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Lutein	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad; lutein can be a potential substrate but not specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid 9,10/9',10' cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Lutein	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not lutein-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Lutein	ninaB	ninaB	K18048	1	K18048	EC:1.13.11.65			Broad carotenoid activity; not lutein-specific	carotenoid isomerooxygenase | Carotenoid isomerooxygenase activity	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Cryptoxanthin	crtZ	crtZ	K15746	1	K15746	EC:1.14.15.24			High; EC reaction includes β-cryptoxanthin to zeaxanthin	beta-carotene 3-hydroxylase | Hydroxylation to zeaxanthin	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Cryptoxanthin	crtR	crtR	K02294	1	K02294	EC:1.14.13.-			Moderate; likely β-ionone ring hydroxylation; verify substrate	beta-carotene hydroxylase | Hydroxylation to zeaxanthin	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Cryptoxanthin	CYP175A	CYP175A	K22492	1	K22492	EC:1.14.15.24			Moderate-high; EC includes β-cryptoxanthin conversion	beta-carotene 3-hydroxylase | Hydroxylation to zeaxanthin	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Cryptoxanthin	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad; not β-cryptoxanthin-specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid 9,10/9',10' cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Cryptoxanthin	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not β-cryptoxanthin-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Neoxanthin	NSY	NSY	K14594	1	K14594	EC:5.3.99.9			High for neoxanthin formation; not degradation	neoxanthin synthase | Neoxanthin formation	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Neoxanthin	NCED	NCED	K09840	1	K09840	EC:1.13.11.51			Moderate-high for 9-cis-neoxanthin/violaxanthin-type substrates	9-cis-epoxycarotenoid dioxygenase | Oxidative cleavage of 9-cis-epoxycarotenoids	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Neoxanthin	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad; not neoxanthin-specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid 9,10/9',10' cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Neoxanthin	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not neoxanthin-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Violaxanthin	VDE, NPQ1	VDE, NPQ1	K09839	1	K09839	EC:1.23.5.1			High for violaxanthin/antheraxanthin interconversion; not degradation	violaxanthin de-epoxidase | De-epoxidation/interconversion in xanthophyll cycle	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Violaxanthin	ZEP, ABA1	ZEP, ABA1	K09838	1	K09838	EC:1.14.15.21			High for zeaxanthin to antheraxanthin/violaxanthin; reverse not direct	zeaxanthin epoxidase | Epoxidation/interconversion in xanthophyll cycle	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Violaxanthin	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad; not compound-specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid 9,10/9',10' cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Violaxanthin	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not compound-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Antheraxanthin	VDE, NPQ1	VDE, NPQ1	K09839	1	K09839	EC:1.23.5.1			High for violaxanthin/antheraxanthin interconversion; not degradation	violaxanthin de-epoxidase | De-epoxidation/interconversion in xanthophyll cycle	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Antheraxanthin	ZEP, ABA1	ZEP, ABA1	K09838	1	K09838	EC:1.14.15.21			High for zeaxanthin to antheraxanthin/violaxanthin; reverse not direct	zeaxanthin epoxidase | Epoxidation/interconversion in xanthophyll cycle	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Antheraxanthin	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad; not compound-specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid 9,10/9',10' cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Antheraxanthin	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not compound-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Violaxanthin	NCED	NCED	K09840	1	K09840	EC:1.13.11.51			High for 9-cis-violaxanthin/neoxanthin-type substrates	9-cis-epoxycarotenoid dioxygenase | Oxidative cleavage of 9-cis-epoxycarotenoid	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin dipalmitate (ZDP)	lip, TGL2	lip, TGL2	K01046	1	K01046	EC:3.1.1.3			Low for carotenoid esters; broad lipid ester hydrolysis, not carotenoid-specific	triacylglycerol lipase | Ester hydrolysis / de-esterification	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin dipalmitate (ZDP)	CES1	CES1	K01044	1	K01044	EC:3.1.1.1			Low; broad carboxylic ester hydrolysis, not carotenoid-specific	carboxylesterase 1 | Ester hydrolysis / de-esterification	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin dipalmitate (ZDP)	CES2	CES2	K03927	1	K03927	EC:3.1.1.1,EC:3.1.1.56,EC:3.1.1.84			Low; broad carboxylic ester hydrolysis, not carotenoid-specific	carboxylesterase 2 | Ester hydrolysis / de-esterification	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin dipalmitate (ZDP)	crtX	crtX	K14596	1	K14596	EC:2.4.1.276			High for released zeaxanthin; not for intact ester	zeaxanthin glucosyltransferase | Aglycone glycosylation/modification after hydrolysis	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin dipalmitate (ZDP)	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad; not ester-specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid cleavage after hydrolysis	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin dipalmitate (ZDP)	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not ester-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage after hydrolysis	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin monopalmitate	lip, TGL2	lip, TGL2	K01046	1	K01046	EC:3.1.1.3			Low for carotenoid esters; broad lipid ester hydrolysis, not carotenoid-specific	triacylglycerol lipase | Ester hydrolysis / de-esterification	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin monopalmitate	CES1	CES1	K01044	1	K01044	EC:3.1.1.1			Low; broad carboxylic ester hydrolysis, not carotenoid-specific	carboxylesterase 1 | Ester hydrolysis / de-esterification	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin monopalmitate	CES2	CES2	K03927	1	K03927	EC:3.1.1.1,EC:3.1.1.56,EC:3.1.1.84			Low; broad carboxylic ester hydrolysis, not carotenoid-specific	carboxylesterase 2 | Ester hydrolysis / de-esterification	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin monopalmitate	crtX	crtX	K14596	1	K14596	EC:2.4.1.276			High for released zeaxanthin; not for intact ester	zeaxanthin glucosyltransferase | Aglycone glycosylation/modification after hydrolysis	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin monopalmitate	CCD1	CCD1	K00465	1	K00465	EC:1.13.11.-			Broad; not ester-specific	carotenoid 9,10(9',10')-cleavage dioxygenase 1 | Broad carotenoid cleavage after hydrolysis	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin monopalmitate	K11159	K11159	K11159	1	K11159	EC:1.13.11.-			Broad; not ester-specific	carotenoid cleavage oxygenase | Broad carotenoid cleavage after hydrolysis	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin myristate palmitate	lip, TGL2	lip, TGL2	K01046	1	K01046	EC:3.1.1.3			Low for carotenoid esters; broad lipid ester hydrolysis, not carotenoid-specific	triacylglycerol lipase | Ester hydrolysis / de-esterification	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	Zeaxanthin myristate palmitate	CES1	CES1	K01044	1	K01044	EC:3.1.1.1			Low; broad carboxylic ester hydrolysis, not carotenoid-specific	carboxylesterase 1 | Ester hydrolysis / de-esterification	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
