scfa	pathway	step_order	role	essential	gene_symbol	ids	description	reference
propionate	Succinate path	6	central	yes	mmdA	K11264,K01571,K01572,EC:7.2.4.3	methylmalonyl-CoA decarboxylase alpha (carboxytransferase)	Reichardt 2014
propionate	Succinate path	6b	central	yes	mmdD	K20509,EC:7.2.4.1	methylmalonyl-CoA decarboxylase, biotin carrier (carboxybiotin decarboxylase)	KEGG ko
propionate	Succinate path	7	terminal	yes	pct/ackA-like	K01026,K00925,EC:2.8.3.1	propionate CoA-transferase OR propionate kinase activity of AckA	Reichardt 2014
propionate	Acrylate path	1	upstream	yes	ldhD	K03778,K03777,EC:1.1.1.28	D-lactate dehydrogenase (lactate from pyruvate)	Reichardt 2014
propionate	Acrylate path	2	central	yes	lcdA-C	K01010,K20940	lactoyl-CoA dehydratase (manual KEGG mapping is incomplete)	Reichardt 2014
propionate	Acrylate path	3	terminal	yes	pct	K01026,EC:2.8.3.1	propionate CoA-transferase	Reichardt 2014
propionate	1,2-PD path	1	upstream	yes	pduC	K13919	propanediol dehydratase large subunit	Reichardt 2014
propionate	1,2-PD path	2	upstream	yes	pduD	K13920	propanediol dehydratase medium subunit	Reichardt 2014
propionate	1,2-PD path	3	upstream	yes	pduE	K13921	propanediol dehydratase small subunit	Reichardt 2014
propionate	1,2-PD path	4	central	yes	pduP	K13922,EC:1.2.1.87	CoA-dependent propionaldehyde dehydrogenase	Reichardt 2014
propionate	1,2-PD path	5	central	yes	pduL	K13923	phosphate propanoyltransferase	KEGG ko
propionate	1,2-PD path	6	terminal	yes	pduW/buk	K00929,EC:2.7.2.7	propionate kinase (shares EC with butyrate kinase)	KEGG ko
lactate	L-lactate from pyruvate	1	terminal	yes	ldhA-L	K00016,K00101,EC:1.1.1.27,EC:1.1.2.3	L-lactate dehydrogenase	KEGG map00620
lactate	D-lactate from pyruvate	1	terminal	yes	ldhA-D	K03778,K03777,EC:1.1.1.28,EC:1.1.5.12	D-lactate dehydrogenase	KEGG map00620
lactate	D-lactate from methylglyoxal	1	upstream	no	mgsA	K01734,EC:4.2.3.3	methylglyoxal synthase	KEGG map00620
lactate	D-lactate from methylglyoxal	2	central	no	gloA	K01759,EC:4.4.1.5	glyoxalase I	KEGG map00620
ethanol	adhE bifunctional	1	terminal	yes	adhE	K04072,EC:1.1.1.1,EC:1.2.1.10	bifunctional acetaldehyde/alcohol dehydrogenase	KEGG map00010
ethanol	NAD-dep adh	1	terminal	yes	adhP/yqhD	K00001,K00121,K13951,K13952,K13953,K13954,K13980,K18857	alcohol dehydrogenases (various)	KEGG
ethanol	Acetaldehyde from acetyl-CoA	0	upstream	no	mhpF	K04073,EC:1.2.1.10	acetaldehyde dehydrogenase (acetylating)	KEGG map00620
formate	PFL	1	terminal	yes	pflB	K00656,EC:2.3.1.54	pyruvate-formate lyase: pyruvate -> acetyl-CoA + formate	KEGG map00620
formate	FHL (formate->H2+CO2)	1	upstream	no	fdhF	K00123,EC:1.17.1.9	formate dehydrogenase H (selenoprotein)	KEGG map00680
formate	NAD-FDH	1	upstream	no	fdh	K05299,K22515,EC:1.17.1.9	NAD-dep formate dehydrogenase	KEGG map00680
succinate	Reductive (oxaloacetate->malate->fumarate->succinate)	1	upstream	yes	mdh	K00024,EC:1.1.1.37	malate dehydrogenase	KEGG map00020
succinate	Reductive (oxaloacetate->malate->fumarate->succinate)	2	upstream	yes	fumarase	K01676,K01677,K01678,EC:4.2.1.2	fumarase (fumA/fumB/fumC)	KEGG map00020
succinate	Reductive (oxaloacetate->malate->fumarate->succinate)	3	terminal	yes	frdA	K00244,EC:1.3.5.4	fumarate reductase flavoprotein subunit	KEGG map00020
